SeqNo,MatrilCode,FounderId
1,"Q1000","AC"
2,"Q1001","AD"
3,"Q1002","AE"
4,"Q1004","AW"
5,"Q1006","BU"
6,"Q1007","CD"
7,"Q1008","CJ"
8,"Q1011","DG"
9,"Q1012","DM"
10,"Q1013","EA"
11,"Q1014","EU"
12,"Q1015","EW"
13,"Q1017","KZ"
14,"Q1018","PF"
15,"Q1019","RB"
16,"Q1020","003"
17,"Q1021","004"
18,"Q1022","007"
19,"Q1023","010"
20,"Q1024","011"
21,"Q1025","012"
22,"Q1027","020"
23,"Q1028","021"
24,"Q1029","022"
25,"Q1030","024"
26,"Q1031","028"
27,"Q1032","029"
28,"Q1033","031"
29,"Q1034","035"
30,"Q1035","037"
31,"Q1037","040"
32,"Q1038","041"
33,"Q1039","046"
34,"Q1041","049"
35,"Q1042","051"
36,"Q1046","058"
37,"Q1048","062"
38,"Q1049","064"
39,"Q1050","065"
40,"Q1051","069"
41,"Q1052","070"
42,"Q1053","073"
43,"Q1054","074"
44,"Q1055","075"
45,"Q1056","076"
46,"Q1057","078"
47,"Q1058","080"
48,"Q1059","081"
49,"Q1060","083"
50,"Q1061","084"
51,"Q1062","085"
52,"Q1064","088"
53,"Q1065","090"
54,"Q1066","091"
55,"Q1067","092"
56,"Q1068","093"
57,"Q1069","097"
58,"Q1071","22"
59,"Q1074","102"
60,"Q1076","105"
61,"Q1077","106"
62,"Q1078","109"
63,"Q1080","112"
64,"Q1081","114"
65,"Q1082","115"
66,"Q1083","116"
67,"Q1084","117"
68,"Q1086","119"
69,"Q1088","122"
70,"Q1089","128"
71,"Q1090","129"
72,"Q1091","130"
73,"Q1092","131"
74,"Q1093","190"
75,"Q1094","472"
76,"Q1095","485"
77,"Q1096","094"
